doc_id,source,title,url,drugs,access,doi,n_chunks,en_bronze
NCT07169682,clinicaltrials,Effects of IL17/23 Inhibitors on Markers of Subclinical Atherosclerosis in Patients With Psoriasis: an Observational Study,https://clinicaltrials.gov/study/NCT07169682,apremilast,open,,2,si
NCT07190391,clinicaltrials,"A Multi-center, Single-arm, Open-label, Phase 4 Clinical Study to Evaluate the Efficacy and Safety of Apremilast in Patients With Moderate-to-severe Psoriasis",https://clinicaltrials.gov/study/NCT07190391,apremilast,open,,1,si
NCT07254325,clinicaltrials,"Phase I Comparison of Pharmacokinetics, Safety, and Immunogenicity of New Process CMAB015 Injection and Cosentyx in a Randomized, Double-blind, Parallel Controlled, Single-dose Study in Healthy Chinese Male Subjects",https://clinicaltrials.gov/study/NCT07254325,secukinumab,open,,1,si
NCT07352566,clinicaltrials,Utilization of a Cutaneous Therapy In Situ Microdevice,https://clinicaltrials.gov/study/NCT07352566,apremilast; ixekizumab; secukinumab,open,,2,si
NCT07366268,clinicaltrials,"Evaluation of Topical Apremilast Nanoparticles in the Treatment of Plaque Psoriasis: Clinical, Histopathological and Immunohistochemical Study",https://clinicaltrials.gov/study/NCT07366268,apremilast,open,,2,si
NCT07386717,clinicaltrials,Upadacitinib Versus IL-17 Inhibitors in Patients With Psoriatic Arthritis: A Cohort Study,https://clinicaltrials.gov/study/NCT07386717,ixekizumab; plaque_psoriasis,open,,2,si
NCT07432386,clinicaltrials,Comparison of Efficacy of Methotrexate Versus Apremilast in the Treatment of Pruritus in Psoriasis: A Randomized Controlled Trial,https://clinicaltrials.gov/study/NCT07432386,apremilast,open,,2,si
NCT07443956,clinicaltrials,Combination of Biologic and Anti-obesity Therapies in Psoriatic Arthritis,https://clinicaltrials.gov/study/NCT07443956,ixekizumab,open,,2,si
NCT07448402,clinicaltrials,National Registry of Patients With Psoriatic Disease Receiving Interleukin-23 Inhibitor Therapy Within the Costa Rican Social Security System,https://clinicaltrials.gov/study/NCT07448402,plaque_psoriasis,open,,2,si
NCT07485764,clinicaltrials,"A Randomized, Double-Blind, Placebo-Controlled, Multicenter Clinical Trial to Evaluate the Efficacy and Safety of Metformin in Combination With Secukinumab for the Treatment of Moderate-to-Severe Plaque Psoriasis in Overweight or Obese Chinese Patients",https://clinicaltrials.gov/study/NCT07485764,secukinumab,open,,3,si
NCT07543640,clinicaltrials,EFFICACY OF ROFLUMILAST IN THE TREATMENT OF FLEXURAL AND/OR GENITAL PSORIASIS: A RANDOMIZED CONTROLLED TRIAL.,https://clinicaltrials.gov/study/NCT07543640,apremilast,open,,3,si
NCT07683065,clinicaltrials,SEC-HOPE: A Multicenter Retrospective Cohort Study to Estimate Secukinumab Retention Rate in Psoriasis Patients With MASLD,https://clinicaltrials.gov/study/NCT07683065,secukinumab,open,,1,si
41297955,pubmed,"Apremilast in Japanese patients with palmoplantar pustulosis: A randomized, Phase 3 trial.",https://pubmed.ncbi.nlm.nih.gov/41297955/,apremilast,open,10.1111/jdv.70166,3,si
41340213,pubmed,"Apremilast, Methotrexate and NB-UVB Phototherapy for Moderate to Severe Psoriasis: Efficacy, Safety, and Immunomodulation in Comparison.",https://pubmed.ncbi.nlm.nih.gov/41340213/,apremilast,abstract_only,10.1111/phpp.70066,4,si
41350512,pubmed,Deucravacitinib in Plaque Psoriasis After Inadequate Response to Apremilast: Phase 3 POETYK Analysis.,https://pubmed.ncbi.nlm.nih.gov/41350512/,apremilast,open,10.1007/s13555-025-01606-9,4,si
41369155,pubmed,"Results from the 32-week, phase 3 DISCREET study of apremilast in patients with moderate to severe genital psoriasis.",https://pubmed.ncbi.nlm.nih.gov/41369155/,apremilast,open,10.1111/jdv.70110,4,si
41393637,pubmed,Refractory Chronic Plaque Psoriasis and Psoriatic Arthritis Successfully Managed With Combined Secukinumab and Apremilast Therapy: A Case Report.,https://pubmed.ncbi.nlm.nih.gov/41393637/,apremilast,open,10.7759/cureus.96555,2,si
41399715,pubmed,Global Research Trends in Apremilast for Psoriasis: A Bibliometric Analysis (2008-2024).,https://pubmed.ncbi.nlm.nih.gov/41399715/,apremilast,open,10.2147/CCID.S547013,3,si
41502380,pubmed,Relative Efficacy of Immunomodulatory Monotherapies for Psoriasis of the Scalp: A Network Meta-Analysis Study.,https://pubmed.ncbi.nlm.nih.gov/41502380/,apremilast,open,10.1111/jocd.70662,4,si
41503778,pubmed,Apremilast Associated Clinical Improvement in Bullous Pemphigoid With Plaque Psoriasis.,https://pubmed.ncbi.nlm.nih.gov/41503778/,apremilast,abstract_only,10.1111/1346-8138.70132,1,si
41537947,pubmed,Outcomes in Patients with Psoriasis Following Apremilast Treatment: Results from the German Psoriasis Registry PsoBest.,https://pubmed.ncbi.nlm.nih.gov/41537947/,apremilast,open,10.1007/s13555-025-01631-8,4,si
41596733,pubmed,Systemic Treatment Strategies for Patients with Psoriasis and Psoriatic Arthritis in the Setting of ANA Positivity or Lupus Spectrum Disease: A Comprehensive Systematic Review.,https://pubmed.ncbi.nlm.nih.gov/41596733/,apremilast,open,10.3390/ijms27021093,5,si
41643746,pubmed,Apremilast improves skin outcomes in pediatric plaque psoriasis of shorter disease duration: 52-week results from the SPROUT phase 3 trial.,https://pubmed.ncbi.nlm.nih.gov/41643746/,apremilast,abstract_only,10.1016/j.jaad.2026.01.072,1,si
